date,pressure_hpa,temp_max,temp_avg,temp_min,dew_point,humidity_pct,sunshine_h,wind_direction,wind_speed_kmh,rainfall_mm
2005-01-01,1027.6,10.7,7.4,4.2,-5.9,38.0,9.2,N,28.0,0.0
2005-01-02,1023.3,13.5,9.9,7.9,-2.6,41.0,2.5,N,15.0,0.0
2005-01-03,1019.4,18.2,13.2,9.2,5.2,59.0,1.5,N,12.0,0.0
2005-01-04,1021.3,17.9,14.4,12.6,6.7,60.0,0.0,N NNW,15.0,0.0
2005-01-05,1022.0,18.1,15.2,13.1,8.1,63.0,0.0,N,13.0,0.0
2005-01-06,1021.2,22.3,16.8,13.1,8.2,58.0,8.1,N,11.0,0.0
2005-01-07,1021.8,21.7,17.0,14.4,12.8,77.0,7.9,SE,10.0,0.0
2005-01-08,1022.1,19.5,16.5,15.1,10.3,68.0,0.2,N,10.0,0.0
2005-01-09,1022.7,16.8,14.0,11.6,6.8,62.0,4.1,N,19.0,0.0
2005-01-10,1022.8,18.2,13.6,10.5,7.0,65.0,5.4,N,16.0,0.0
2005-01-11,1022.3,19.3,15.5,12.7,9.6,68.0,3.2,N,12.0,0.0
2005-01-12,1021.9,17.5,13.6,11.5,6.6,63.0,2.7,N,18.0,0.0
2005-01-13,1020.9,12.0,8.8,7.3,5.6,81.0,0.0,N,27.0,3.6
2005-01-14,1022.0,12.2,8.8,5.3,0.7,58.0,5.8,N,27.0,0.0
2005-01-15,1022.2,14.6,10.4,7.2,-1.5,44.0,7.0,N,21.0,0.0
2005-01-16,1022.9,16.5,12.3,9.0,-0.2,42.0,8.9,N,12.0,0.0
2005-01-17,1022.0,18.8,13.9,10.6,7.0,63.0,6.9,ESE,10.0,0.0
2005-01-18,1020.7,21.5,15.8,12.6,11.1,74.0,3.0,SE,10.0,0.0
2005-01-19,1021.6,20.4,16.5,14.1,12.5,78.0,0.6,N,9.0,0.0
2005-01-20,1025.4,18.0,14.6,12.5,10.4,76.0,0.0,NNE,12.0,0.0
2005-01-21,1025.7,20.3,15.4,13.8,11.4,77.0,5.3,SE,17.0,0.0
2005-01-22,1022.2,19.1,16.2,14.8,13.1,82.0,3.2,ESE,9.0,0.0
2005-01-23,1019.8,20.8,17.4,14.7,14.2,82.0,7.7,SE,12.0,0.0
2005-01-24,1017.4,20.1,17.2,16.2,14.3,84.0,2.5,SE,12.0,0.0
2005-01-25,1013.1,18.8,17.7,16.9,16.1,91.0,0.0,SSE,9.0,0.0
2005-01-26,1012.5,18.5,17.4,16.1,16.1,92.0,0.0,SE,14.0,0.0
2005-01-27,1012.2,17.8,17.0,16.0,15.3,90.0,0.0,SE,12.0,0.0
2005-01-28,1011.3,17.9,16.7,15.1,15.4,92.0,0.0,N,7.0,2.8
2005-01-29,1012.4,18.0,16.7,15.3,15.6,93.0,0.0,SSE,8.0,0.2
2005-01-30,1016.0,18.1,15.4,11.8,14.3,93.0,0.0,N,11.0,0.8
2005-01-31,1019.3,12.0,10.9,10.3,8.7,86.0,0.0,N,25.0,0.6
2005-02-01,1019.2,11.0,10.0,8.6,5.2,73.0,0.0,N,24.0,0.2
2005-02-02,1019.7,11.3,9.7,8.5,8.2,90.0,0.0,N,19.0,0.4
2005-02-03,1019.0,13.2,11.3,9.8,10.4,94.0,0.0,N,11.0,2.6
2005-02-04,1017.0,16.7,15.0,13.0,13.9,93.0,0.0,SSE,8.0,0.0
2005-02-05,1016.7,17.6,17.2,16.6,16.3,94.0,0.0,SE,10.0,0.2
2005-02-06,1018.2,18.5,17.4,16.5,16.4,94.0,0.0,SE,12.0,0.0
2005-02-07,1019.6,25.5,19.6,17.4,17.4,87.0,4.8,SE SSE,8.0,0.0
2005-02-08,1020.2,22.4,18.6,17.3,17.1,91.0,0.7,SE,11.0,0.2
2005-02-09,1020.0,21.2,18.4,17.1,16.1,86.0,5.1,SE,14.0,0.0
2005-02-10,1022.2,24.9,18.5,14.1,13.9,75.0,4.4,N,14.0,0.0
2005-02-11,1024.6,17.7,14.6,12.5,9.2,70.0,0.0,N,17.0,0.0
2005-02-12,1023.0,20.7,16.6,14.5,12.1,75.0,0.0,NNE,11.0,0.0
2005-02-13,1021.1,19.7,16.4,14.4,12.8,80.0,4.7,SE,18.0,0.0
2005-02-14,1017.5,17.4,16.2,15.3,14.5,89.0,0.0,ESE,20.0,1.2
